#Idx,Group
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,2
36,2
37,2
38,2
39,1
40,2
41,2
42,2
43,2
44,2
45,1
46,2
47,2
48,2
49,2
50,1
51,2
52,2
53,1
54,2
55,2
56,2
57,1
58,2
59,2
60,1
61,2
62,2
63,1
64,2
65,1
66,2
67,2
68,1
69,2
70,2
71,1
72,2
73,1
74,2
75,2
76,1
77,2
78,1
79,2
80,2
81,1
82,2
83,3
84,3
85,3
86,1
87,3
88,3
89,2
90,3
91,3
92,3
93,3
94,3
95,2
96,1
97,3
98,3
99,3
100,2
101,3
102,1
103,3
104,2
105,3
106,3
107,3
108,1
109,2
110,3
111,3
112,2
113,1
114,3
115,3
116,2
117,3
118,1
119,3
120,2
121,3
122,1
123,2
124,3
125,3
126,2
127,1
128,3
129,2
130,3
131,1
132,3
133,2
134,3
135,1
136,3
137,2
138,3
139,1
140,2
141,3
142,4
143,4
144,4
145,4
146,2
147,4
148,3
149,4
150,1
151,4
152,4
153,4
154,4
155,3
156,4
157,2
158,4
159,4
160,1
161,3
162,4
163,4
164,2
165,4
166,3
167,4
168,1
169,4
170,3
171,2
172,4
173,4
174,3
175,1
176,4
177,2
178,4
179,3
180,4
181,2
182,1
183,4
184,3
185,4
186,2
187,3
188,4
189,1
190,4
191,3
192,2
193,4
194,1
195,4
196,3
197,2
198,4
199,3
200,1
201,4
202,2
203,4
204,3
205,4
206,1
207,3
208,2
209,4
210,5
211,5
212,5
213,5
214,5
215,3
216,4
217,5
218,1
219,5
220,2
221,5
222,5
223,5
224,4
225,5
226,3
227,5
228,5
229,4
230,2
231,1
232,5
233,5
234,3
235,5
236,4
237,5
238,2
239,5
240,1
241,4
242,3
243,5
244,5
245,4
246,2
247,5
248,3
249,1
250,5
251,4
252,5
253,3
254,2
255,5
256,4
257,5
258,1
259,4
260,3
261,5
262,2
263,5
264,4
265,1
266,5
267,3
268,2
269,5
270,4
271,5
272,3
273,1
274,4
275,5
276,2
277,3
278,5
279,4
280,1
281,5
282,2
283,4
284,3
285,5
286,6
287,6
288,6
289,6
290,6
291,6
292,5
293,4
294,6
295,1
296,2
297,6
298,3
299,6
300,6
301,5
302,6
303,6
304,4
305,6
306,5
307,6
308,3
309,2
310,1
311,6
312,4
313,6
314,5
315,6
316,3
317,6
318,5
319,2
320,4
321,6
322,1
323,6
324,5
325,6
326,3
327,4
328,6
329,2
330,5
331,6
332,1
333,4
334,6
335,3
336,5
337,6
338,2
339,5
340,6
341,4
342,1
343,3
344,6
345,5
346,6
347,4
348,2
349,6
350,3
351,5
352,20
353,6
354,4
355,5
356,2
357,6
358,3
359,6
360,4
361,5
362,20
363,6
364,2
365,3
366,5
367,4
368,6
369,7
370,7
371,7
372,7
373,7
374,20
375,7
376,6
377,7
378,5
379,7
380,3
381,2
382,7
383,4
384,7
385,6
386,7
387,7
388,5
389,7
390,6
391,7
392,4
393,20
394,3
395,7
396,2
397,7
398,5
399,6
400,7
401,7
402,4
403,6
404,7
405,5
406,3
407,20
408,7
409,2
410,6
411,7
412,4
413,5
414,7
415,6
416,3
417,7
418,2
419,20
420,7
421,5
422,6
423,4
424,7
425,3
426,7
427,6
428,5
429,4
430,7
431,2
432,20
433,6
434,7
435,5
436,3
437,7
438,6
439,4
440,21
441,7
442,5
443,20
444,6
445,7
446,3
447,4
448,7
449,5
450,6
451,21
452,7
453,20
454,3
455,4
456,6
457,5
458,7
459,8
460,8
461,8
462,8
463,8
464,8
465,7
466,8
467,6
468,21
469,8
470,8
471,4
472,5
473,3
474,8
475,8
476,7
477,20
478,8
479,6
480,8
481,8
482,7
483,5
484,8
485,21
486,4
487,8
488,3
489,6
490,7
491,8
492,20
493,8
494,5
495,7
496,8
497,6
498,4
499,8
500,21
501,3
502,7
503,8
504,5
505,6
506,8
507,20
508,7
509,8
510,4
511,8
512,3
513,6
514,21
515,7
516,5
517,8
518,8
519,4
520,7
521,6
522,20
523,8
524,5
525,3
526,7
527,21
528,8
529,6
530,4
531,8
532,7
533,5
534,20
535,8
536,22
537,6
538,7
539,21
540,8
541,4
542,5
543,8
544,6
545,7
546,22
547,8
548,20
549,4
550,21
551,7
552,5
553,8
554,6
555,9
556,9
557,9
558,9
559,9
560,9
561,9
562,8
563,9
564,7
565,9
566,22
567,9
568,6
569,5
570,20
571,9
572,4
573,8
574,9
575,21
576,9
577,7
578,9
579,8
580,9
581,6
582,9
583,5
584,22
585,7
586,8
587,4
588,9
589,9
590,20
591,21
592,8
593,9
594,6
595,7
596,9
597,5
598,8
599,9
600,22
601,4
